album,artist,track_name,track_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,temp,time_signature
Exile On Main Street (Deluxe Version),The Rolling Stones,All Down The Line,spotify:track:2tPYeRNVROwJpG7tOHXJTZ,215160,0.381,0.214,4,-11.629,1,0.0337,0.944,0,0.106,0.393,127.581,3
Exile On Main Street (Deluxe Version),The Rolling Stones,Stop Breaking Down,spotify:track:30t7Yif8FyeCANkW2Beii3,157533,0.526,0.413,0,-9.865,1,0.0446,0.338,0,0.0992,0.71,111.874,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Shine A Light,spotify:track:2EH595eXhTlOp8BlcOX5Y4,304667,0.352,0.479,6,-9.965,1,0.0338,0.339,0.000353,0.486,0.354,126.166,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Soul Survivor,spotify:track:4A4dDKVaoruaFbgUJIufXk,157667,0.704,0.241,1,-13.258,1,0.0476,0.625,2.8E-05,0.0868,0.661,140.411,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Pass The Wine (Sophia Loren),spotify:track:0AhnC2WcLw6ZX1oXoD75gK,162093,0.61,0.471,8,-9.151,0,0.0261,0.0634,0,0.118,0.63,87.379,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Plundered My Soul,spotify:track:77JJtpB6aAxGI9jNTBVbWu,161227,0.542,0.618,2,-8.876,1,0.139,0.0858,0,0.772,0.93,121.849,3
Exile On Main Street (Deluxe Version),The Rolling Stones,I'm Not Signifying,spotify:track:6RGzYkvUeDxTHPgvud1He8,79067,0.653,0.889,0,-8.006,1,0.0453,0.0061,0.589,0.892,0.879,118.773,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Following The River,spotify:track:5YBVKx51h8YouVHkpDM3A3,337413,0.364,0.457,4,-14.162,0,0.0675,0.29,0.000106,0.922,0.175,163.219,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Dancing In The Light,spotify:track:0c1g0H2Kky6iBg2WkjGaOI,233000,0.283,0.716,1,-9.632,0,0.0986,0.447,0,0.399,0.828,201.96,4
Exile On Main Street (Deluxe Version),The Rolling Stones,So Divine (Aladdin Story),spotify:track:0EHtgDgLhb44gcRb41p1AK,163680,0.461,0.672,5,-10.699,0,0.0401,0.565,0.313,0.239,0.701,97.651,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Loving Cup - Alternate Take,spotify:track:2skiGld2KxenMUceC79a30,229573,0.383,0.417,7,-12.155,0,0.0316,0.83,0.00154,0.2,0.584,109.319,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Soul Survivor - Alternate Take,spotify:track:7k1bo4ZVPHL3Ofu2Sqhyb2,243040,0.306,0.574,9,-10.632,0,0.0426,0.694,0.000112,0.713,0.537,106.342,3
Exile On Main Street (Deluxe Version),The Rolling Stones,Good Time Women,spotify:track:1Y7a8V3ihh9zpmmiqJ3sue,101827,0.551,0.815,0,-9.631,0,0.0681,0.763,0,0.729,0.789,99.092,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Title 5,spotify:track:0L9upeBPGyAEVtJTeMS0NZ,193573,0.498,0.634,6,-12.16,0,0.0475,0.328,0.748,0.0962,0.515,93.161,4
Innervisions,Stevie Wonder,Too High,spotify:track:60TB2Ifv7CCjjyROXXnChC,369600,0.482,0.721,0,-6.839,1,0.0321,0.731,0,0.189,0.557,95.263,4
Innervisions,Stevie Wonder,Visions,spotify:track:43LDXcy86qmEgfy6Wd2AZk,356227,0.504,0.808,11,-7.25,1,0.0584,0.408,0,0.316,0.653,123.866,4
Innervisions,Stevie Wonder,Living For The City,spotify:track:3qvuhGBr6BSdGPQsdf2gLr,245133,0.493,0.579,8,-7.743,1,0.0319,0.772,8.06E-05,0.0759,0.475,93.353,4
Innervisions,Stevie Wonder,Golden Lady,spotify:track:1bpaA5Pn4jlo1cRAOBNQnh,195693,0.287,0.72,0,-6.231,1,0.0347,0.756,3.41E-06,0.263,0.709,176.302,4
Innervisions,Stevie Wonder,Higher Ground,spotify:track:0dMd4rilfd6gPbXaLpNYhu,356707,0.473,0.574,11,-8.189,0,0.032,0.695,0,0.509,0.499,74.056,4
Innervisions,Stevie Wonder,Jesus Children Of America,spotify:track:0FKbjXqDqOqFnKZEHbHerY,327467,0.369,0.691,0,-6.234,1,0.0387,0.778,1.39E-05,0.327,0.382,104.371,4
Innervisions,Stevie Wonder,All In Love Is Fair,spotify:track:7asmbWITwvuo1toSvoImnk,205827,0.49,0.808,10,-6.725,1,0.0409,0.475,0,0.232,0.604,73.434,4
Innervisions,Stevie Wonder,Don't You Worry 'Bout A Thing,spotify:track:1QvWxgZvTU0w8rlPRE5Zrv,327560,0.497,0.511,7,-8.318,1,0.0271,0.702,0,0.262,0.591,99.5,4
Innervisions,Stevie Wonder,He's Misstra Know-It-All,spotify:track:7sQ9eys8uVNrCsPyzYlDgG,681400,0.432,0.605,4,-6.941,1,0.0306,0.673,0,0.129,0.647,109.227,4
